,Epoch,train_loss,train_acc,test_acc
0,0.0,0.3806605935096741,0.875,0.59396
1,1.0,0.30789923667907715,0.9375,0.60494
2,2.0,0.25826525688171387,0.875,0.6148
3,3.0,0.2529875338077545,0.9375,0.61632
4,4.0,0.23433643579483032,0.875,0.6207
5,5.0,0.21171584725379944,0.875,0.619
6,6.0,0.20525093376636505,0.9375,0.61826
7,7.0,0.19996918737888336,0.9375,0.6158
8,8.0,0.15073348581790924,0.9375,0.61324
9,9.0,0.16603237390518188,0.9375,0.6104
10,10.0,0.12914752960205078,1.0,0.6066
11,11.0,0.13934695720672607,0.9375,0.60408
